packagename,permission,text,label
com.radiateandroid,Steps,"Steps [SEP] com.radiateandroid Radiate App IconRadiate Logo Text Open Menu Privacy Policy For Radiate Last updated August 2020 1. Overview We at Radiate The World, Inc. (“Radiate,” “we,” “us,” or “our”) have created this privacy policy (“Privacy Policy”) because we know that you care about how information you provide to us is used and shared. This Privacy Policy relates to the information collection and use practices of Radiate in connection with our online services, which are made available to you through a variety of platforms, including, but not limited to, www.radiatetheworld.com (the “Website”) and our Radiate app, which is accessible through a variety of connected devices, such as mobile devices (the “App”). The Website and the App are collectively referred to as the “Platform.” The Privacy Policy applies to the Platform and any other websites or applications owned and operated by Radiate that direct the user to this Privacy Policy. This Privacy Policy describes the types of personal information that we collect, how we use it, how and when it may be shared, and the rights and choices you have with respect to your information. It also explains how we communicate with you and how you can m",PARTIAL
com.doshcook.doshwalk,Steps,"Steps [SEP] com.doshcook.doshwalk 11:11 Privacy Policy StellarWalk Privacy Policy DoshCook built the StellarWalk app as a Free app. This SERVICE is provided by DoshCook at no cost and is intended for use as is. This page is used to inform visitors regarding our policies with the collection, use, and disclosure f Personal Information if anyone decided to use our Service: If you choose to use our Service, then you agree to the collection and use of information in relation to this policy: The Personal Information that collect is used for providing and improving the Service. will not use or share your information with anyone except as described in this Privacy Policy: The terms used in this Privacy Policy have the same meanings as in our Terms and Conditions, which is accessible at StellarWalk unless otherwise defined in this Privacy Policy: Information Collection and Use For a better experience; while using our Service, may require you to provide us with certain personally identifiable information. The information that request will be retained on your device and is not collected by uS in any way:11:11 Privacy Policy For a better experience, while using our Service, may require you to provide us w",NO
com.apposter.watchmaker,Steps,"Steps [SEP] com.apposter.watchmaker 10.29 G Privacy Policy Privacy Policy Apposter (hereinafter the ""Company"") herewith discloses the Privacy Policy of the Company to protect your personal information and help you address privacy related issues promptly and smoothly: Article 1. General Provisions The Company complies with related laws such as the Personal Information Protection Act, the Act on Promotion of Information and Communication Network Utilization and Information Protection, and the Act on the Use and Protection of Credit Information for the protection of members' personal information: Article 2. Consent to the Processing of Personal Information The company is going through a procedure for agreeing to the terms of service and privacy policy in the membership registration process: The member conveys his/her consent to the company by directly entering an indication to the effect of agree to this privacy policy"" on the website, etc-, and the company considers that the member has read and fully agreed to this privacy policy: Article 3. Purpose of Processing Personal Information The Company is processing personal information of members for the reasons in the following and do not use it for ",YES
com.spotme.trars16,Steps,"Steps [SEP] com.spotme.trars16 SpotMe Launches Onomi for Life Sciences Find out more + logo-color Privacy Notice for SpotMe Services Introduction This privacy notice serves to provide comprehensive information to users of the SpotMe Services and respective Backstage users, in the EU within the meaning of Art. 12 para. 1 GDPR. SpotMe provides the Services as a processor to Clients as controllers who shall use it for the purposes and according to the modalities described in their privacy notice. In case of any inconsistency or discrepancy between the present document and the Client privacy notice, this latter document shall prevail. The contractual relationship between SpotMe and the Client is specifically addressed in the related paragraphs of the present document. SpotMe takes care of protecting the confidentiality of the information you share, and commits itself to the strictest compliance with the data protection law that applies. This document is aimed at providing all users with an outline of what the Services provided by SpotMe consists of, what Personal Data are collected via the Services and how such Data are processed. Service provided by SpotMe SpotMe is a company specialized in provi",YES
com.alanmobile,Steps,"Steps [SEP] com.alanmobile Privacy Policy A privacy policy is often a big, intimidating block of text that is supposed to reassure you but you don't read. We have written ours to be as clear and accessible as possible, so that you understand exactly how your personal data is used by Alan. Enjoy your reading. Table of contents Why a privacy policy? Key principles Who is responsible for collecting your personal data ? I have a question or request or I want to exercise my rights Personal data Care and support Health services Alan Features Journaling Statistics and performance Why a privacy policy? In the course of its activity as an health insurer and as a health and management services provider, Alan is required to process your personal data, including sensitive data. We attach the utmost importance to the security and confidentiality of the data of Alan's services’ users, whether on the alan.com website or on the mobile application made available to them. The purpose of this privacy policy is to help you understand how we treat the personal data you provide us with, in accordance with the GDPR. This privacy policy may be updated regularly, to enrich it, according to Alan's needs, circumstances ",PARTIAL
com.blinkmap,Steps,"Steps [SEP] com.blinkmap 10.43 % blinkmap com/privacyl 2 PRIVAcY POLICY Blink Service Privacy Policy 1. General 1.1. Max Klimchuk in App Store and Blink in Google Play, hereinafter referred to as the ""Administration undertake to respect the confidentiality of data and information provided by individuals (hereinafter; the ""User"") when using the Blink map with friends mobile application for mobile devices on Android and iOS (hereinafter, the ""Service"") 1.2. This Policy establishes the rules under which the Administration processes the User's personal data and information during the User's use of the Service 1.3. This Policy is available at https IIblinkmapcom/privacy and forms an integral part of the User Agreement (the ""Agreement"") posted at https Iiblinkmapcom/terms: In the event of a conflict between this Policy and the Agreement regarding the protection of information about the Service's users, this Policy shall apply: 14. Ifthe User does not agree with the terms of this Policy, the use of the Service must be immediately stopped_ 15. The meaning of certain terms used in this Policy is defined in the Agreement:10.43 9 blinkmap com/privacyl 2 Policy shall apply: 14.Ifthe User does not agree wi",PARTIAL
se.wellr.reboot,Steps,"Steps [SEP] se.wellr.reboot Privacy policy Who is responsible for my personal data? The personal data controller is Wellr AB, corporate ID no. 556857-1995, with the address of Strandbergsgatan 61, 112 51 Stockholm Where can I ask questions about the processing of my personal data? You are always welcome to contact us at dataskydd@wellr.se Who may be a recipient of my personal data? Wellr engages so-called personal data processors to deal with the operation, technical support and maintenance of our IT solutions and to send out newsletters. These personal data processors can come into contact with your personal data and are bound by agreements to process it only according to our instructions. We impose stringent requirements on security and confidentiality with regard to your personal data and regularly check that our personal data processors meet those requirements. We may also share your personal data with a public authority if we are obliged to do so by law or in the case of a suspected crime. Will you transfer my personal data to a third country? Wellr will never transfer your personal data to a recipient in a non-EU or EEA country (a third country). What are my rights as a data subject? Rig",PARTIAL
com.wowbody.production,Steps,"Steps [SEP] com.wowbody.production Privacy policy Your privacy is important to us. It is the policy of WOWBODY, Inc. to respect your privacy and to comply with all applicable laws and regulations regarding any personal information we may collect about you, including through our website WOWBODY and related services. Introduction Privacy of users of the site WOWBODY, which is managed by LLC ""HELS TECHNOLOGY"" is very important to us, and we strive to protect it. This policy explains, what information about users we collect, for what purposes we use it, for what period time we store and how you can change or delete information about yourself. User profile necessary minimum information for full use of the services of our site, a namely: name and surname (registration under a fictitious name is possible) e-mail (you can create a separate e-mail exclusively for registration on our website) phone number (not mandatory, but preferred as an additional means of providing information) the time zone in which you will be during the training program (for timely connection of the program and correct change of content). Use of Personal Information At the beginning of using the site, we identify you by the firs",NO
in.sweatco.app,Steps,"Steps [SEP] in.sweatco.app Privacy Policy This Privacy Policy was last updated on September 5th, 2024 SweatCo Ltd is a company incorporated in England (registration number 9242159) whose registered office is c/o OHS Secretaries Limited, 9th Floor, 107 Cheapside, London, EC2V 6DN (hereafter referred to as “SweatCo”, “we” or “us” as the context may require). SweatCo is registered as a Data Controller with the UK’s Information Commissioner’s Office (registration number ZA182331). This Privacy Policy applies to your use of the Sweatcoin mobile application (the “Sweatcoin App”) which hosts the Sweatcoin Marketplace (“Marketplace”) and uses the sweatcoin reward point (“Sweatcoin(s)”), any website operated by SweatCo (including http://sweatco.in) (the “SweatCo Website(s)”) and the services we provide that are accessible via any of them (the “Services”). This Privacy Policy sets out the basis on which any personal data we collect from you, or that you provide to us, will be stored and processed by us. MINIMUM AGE REQUIREMENT Please note that you must be aged 13 years or older to use the Services. Please do not use the Services or provide us with any personal information if you are under 13 years of ag",NO
com.weightloss.zero.intermittent.bodyfast.fastingtracker,Steps,"Steps [SEP] com.weightloss.zero.intermittent.bodyfast.fastingtracker Privacy Policy Guo Yun built the Intermittent Fasting Tracker (""Fasting"") app as a Freemium app. This SERVICE is provided by Guo Yun at no cost and is intended for use as is. This page is used to inform visitors regarding my policies with the collection, use, and disclosure of Personal Information if anyone decided to use my Service. If you choose to use my Service, then you agree to the collection and use of information in relation to this policy. The Personal Information that I collect is used for providing and improving the Service. I will not use or share your information with anyone except as described in this Privacy Policy. The terms used in this Privacy Policy have the same meanings as in our Terms and Conditions, which are accessible at Intermittent Fasting Tracker (""Fasting"") unless otherwise defined in this Privacy Policy. Information Collection and Use For a better experience, while using our Service, I may require you to provide us with certain personally identifiable information, including but not limited to Usage Data, Weight, Height, Symptoms, Step Count from Google Fit / Apple Health, Other information about ",PARTIAL
